[qh_cloud][INFO] [2017-07-02 22:02:09] org.springframework.web.servlet.FrameworkServlet.initServletBean(489) | FrameworkServlet 'mvc-dispatcher': initialization started
[qh_cloud][INFO] [2017-07-02 22:02:09] org.springframework.context.support.AbstractApplicationContext.prepareRefresh(583) | Refreshing WebApplicationContext for namespace 'mvc-dispatcher-servlet': startup date [Sun Jul 02 22:02:09 CST 2017]; root of context hierarchy
[qh_cloud][INFO] [2017-07-02 22:02:09] org.springframework.beans.factory.xml.XmlBeanDefinitionReader.loadBeanDefinitions(317) | Loading XML bean definitions from ServletContext resource [/WEB-INF/configs/spring/mvc-dispatcher-servlet.xml]
[qh_cloud][INFO] [2017-07-02 22:02:10] org.springframework.beans.factory.annotation.AutowiredAnnotationBeanPostProcessor.<init>(155) | JSR-330 'javax.inject.Inject' annotation found and supported for autowiring
[qh_cloud][INFO] [2017-07-02 22:02:11] org.springframework.web.servlet.handler.AbstractHandlerMethodMapping$MappingRegistry.register(543) | Mapped "{[/hello/mvc]}" onto public java.lang.String com.xiexie010.blog.controller.HelloMvcController.HelloMvc()
[qh_cloud][INFO] [2017-07-02 22:02:11] org.springframework.web.servlet.handler.AbstractHandlerMethodMapping$MappingRegistry.register(543) | Mapped "{[/hello/edit]}" onto public java.lang.String com.xiexie010.blog.controller.HelloMvcController.myedit()
[qh_cloud][INFO] [2017-07-02 22:02:11] org.springframework.web.servlet.handler.AbstractHandlerMethodMapping$MappingRegistry.register(543) | Mapped "{[/hello/view],methods=[GET]}" onto public java.lang.String com.xiexie010.blog.controller.HelloMvcController.viewone2(java.lang.String,org.springframework.ui.Model) throws java.io.UnsupportedEncodingException
[qh_cloud][INFO] [2017-07-02 22:02:11] org.springframework.web.servlet.handler.AbstractHandlerMethodMapping$MappingRegistry.register(543) | Mapped "{[/upload/image]}" onto public void com.xiexie010.blog.controller.UploadController.uploadImage()
[qh_cloud][INFO] [2017-07-02 22:02:11] org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerAdapter.initControllerAdviceCache(534) | Looking for @ControllerAdvice: WebApplicationContext for namespace 'mvc-dispatcher-servlet': startup date [Sun Jul 02 22:02:09 CST 2017]; root of context hierarchy
[qh_cloud][INFO] [2017-07-02 22:02:11] org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerAdapter.initControllerAdviceCache(534) | Looking for @ControllerAdvice: WebApplicationContext for namespace 'mvc-dispatcher-servlet': startup date [Sun Jul 02 22:02:09 CST 2017]; root of context hierarchy
[qh_cloud][INFO] [2017-07-02 22:02:11] org.springframework.web.servlet.handler.AbstractUrlHandlerMapping.registerHandler(362) | Mapped URL path [/static/**] onto handler 'org.springframework.web.servlet.resource.ResourceHttpRequestHandler#0'
[qh_cloud][INFO] [2017-07-02 22:02:12] org.springframework.web.servlet.FrameworkServlet.initServletBean(508) | FrameworkServlet 'mvc-dispatcher': initialization completed in 2504 ms
[qh_cloud][WARN] [2017-07-02 22:47:39] org.springframework.web.servlet.DispatcherServlet.noHandlerFound(1176) | No mapping found for HTTP request with URI [/blog/hello/blog/static/upload/image/20170702/1499006858694014070.png] in DispatcherServlet with name 'mvc-dispatcher'
[qh_cloud][WARN] [2017-07-02 22:49:19] org.springframework.web.servlet.DispatcherServlet.noHandlerFound(1176) | No mapping found for HTTP request with URI [/blog/hello/blog/static/upload/image/20170702/1499006958831057572.png] in DispatcherServlet with name 'mvc-dispatcher'
[qh_cloud][WARN] [2017-07-02 23:03:06] org.springframework.web.servlet.DispatcherServlet.noHandlerFound(1176) | No mapping found for HTTP request with URI [/blog/hello/blog/static/upload/image/20170702/1499007786002090338.jpg] in DispatcherServlet with name 'mvc-dispatcher'
[qh_cloud][WARN] [2017-07-02 23:39:03] org.springframework.web.servlet.DispatcherServlet.noHandlerFound(1176) | No mapping found for HTTP request with URI [/blog/hello/blog//static/upload/image/20170702/1499009942460049379.png] in DispatcherServlet with name 'mvc-dispatcher'
