[qh_cloud][INFO] [2017-06-25 21:22:43] org.springframework.web.servlet.FrameworkServlet.initServletBean(489) | FrameworkServlet 'mvc-dispatcher': initialization started
[qh_cloud][INFO] [2017-06-25 21:22:43] org.springframework.context.support.AbstractApplicationContext.prepareRefresh(583) | Refreshing WebApplicationContext for namespace 'mvc-dispatcher-servlet': startup date [Sun Jun 25 21:22:43 CST 2017]; root of context hierarchy
[qh_cloud][INFO] [2017-06-25 21:22:43] org.springframework.beans.factory.xml.XmlBeanDefinitionReader.loadBeanDefinitions(317) | Loading XML bean definitions from ServletContext resource [/WEB-INF/configs/spring/mvc-dispatcher-servlet.xml]
[qh_cloud][INFO] [2017-06-25 21:22:44] org.springframework.beans.factory.annotation.AutowiredAnnotationBeanPostProcessor.<init>(155) | JSR-330 'javax.inject.Inject' annotation found and supported for autowiring
[qh_cloud][INFO] [2017-06-25 21:22:45] org.springframework.web.servlet.handler.AbstractHandlerMethodMapping$MappingRegistry.register(543) | Mapped "{[/hello/show]}" onto public java.lang.String com.xie.studymavendemo.HelloController.showHello(org.springframework.ui.Model)
[qh_cloud][INFO] [2017-06-25 21:22:45] org.springframework.web.servlet.handler.AbstractHandlerMethodMapping$MappingRegistry.register(543) | Mapped "{[/one/view],methods=[GET]}" onto public org.springframework.web.servlet.ModelAndView com.xie.studymavendemo.OneController.viewone(java.lang.String)
[qh_cloud][INFO] [2017-06-25 21:22:45] org.springframework.web.servlet.handler.AbstractHandlerMethodMapping$MappingRegistry.register(543) | Mapped "{[/one/view0],methods=[GET]}" onto public org.springframework.web.servlet.ModelAndView com.xie.studymavendemo.OneController.viewone1(java.lang.String)
[qh_cloud][INFO] [2017-06-25 21:22:45] org.springframework.web.servlet.handler.AbstractHandlerMethodMapping$MappingRegistry.register(543) | Mapped "{[/one/view1],methods=[GET]}" onto public org.springframework.web.servlet.ModelAndView com.xie.studymavendemo.OneController.viewone2(java.lang.String) throws java.io.UnsupportedEncodingException
[qh_cloud][INFO] [2017-06-25 21:22:45] org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerAdapter.initControllerAdviceCache(534) | Looking for @ControllerAdvice: WebApplicationContext for namespace 'mvc-dispatcher-servlet': startup date [Sun Jun 25 21:22:43 CST 2017]; root of context hierarchy
[qh_cloud][INFO] [2017-06-25 21:22:45] org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerAdapter.initControllerAdviceCache(534) | Looking for @ControllerAdvice: WebApplicationContext for namespace 'mvc-dispatcher-servlet': startup date [Sun Jun 25 21:22:43 CST 2017]; root of context hierarchy
[qh_cloud][INFO] [2017-06-25 21:22:45] org.springframework.web.servlet.FrameworkServlet.initServletBean(508) | FrameworkServlet 'mvc-dispatcher': initialization completed in 1854 ms
